国家（中文）,国家（英文）,公司名称,@type,foundingDate,numberOfEmployees,name,description,json_url
约旦,Jordan,Attarat Power Company,Organization,2011.0,,Attarat Power Company,Attarat Power Company (APCO) is constructing a 2 x 277 MW (gross) oil shale-fired power station and open cast mine located in Jordan. With an investment of c. USD 2.1 billion  it will be the first oil shale power station in Jordan and will have the largest open cast mine in the Kingdom.  The project is the first to commercially utilise Jordan’s abundant oil shale reserves and will significantly reduce Jordan’s reliance on imported oil and gas. With an investment value of USD2.1 billion  the Project is the largest private sector infrastructure project in Jordan to-date and is expected to meet 10 – 15% of Jordan’s annual power demand.  The Project is also the first oil shale fired mine mouth power station in the world funded by limited recourse project financing. The USD1.6 billion project financing benefits from export credit insurance provided by China Export & Credit Insurance Corporation (Sinosure). The debt facility is wholly provided by Chinese banks  with Industrial and Commercial Bank of China and Bank of China as mandated lead arrangers. China Construction Bank and Export-Import Bank of China also participated in the debt facility. This is the largest Chinese project financing for a private infrastructure project outside China supported by Sinosure to-date and conforms to China’s “One Belt One Road Initiative  launched by President Xi.  APCO has entered into a 30-year Power Purchase Agreement with National Electric Power Corporation (NEPCO)  the Jordanian national utility and Single Buyer for the sale of the entire electric capacity and net electrical output following the construction of the power plant.   AMCO is responsible for Mining Activities including mine design  overburden removal  oil shale extraction & transport and ash disposal  APCO Also entered into a long-term operating and maintenance contract with OMCO for the provision of day-to-day operations of the Power Plant.   ,
约旦,Jordan,Babel Company for Energy Equipment and Trading Agencies,Organization,1999.0,11-50,Babel Company for Energy Equipment and Trading Agencies,We are Babel Company for Energy Equipment and trading agencies  with head offices in Baghdad /Iraq and Amman/Jordan and branch offices in Basra  Kirkuk and Baiji (present Oil Operations Geographic Centers in Iraq). We are offering our services to Iraq market in particular to the Oil & Gas Sector. We are presently representing well known manufacturers and suppliers of equipment to the oil and gas  and petrochemical industries  and also infrastructure materials such as line pipe  fitting and connections.  We have been operating in Iraq for more than 15 years either part of business group or partners or private independent company as we are now. Most of our business is with the Iraq Oil Industry  we have supplied engineering services and equipment for the upstream companies and most of all the downstream companies  mainly refineries and Gas Processing Plants.,
约旦,Jordan,Edgo,Organization,1956.0,501-1000,Edgo,The Engineering and Development Group (“Edgo ) was founded in 1956 and is today a leading regional company active in the oil  gas  water  power and infrastructure sectors.  The Group’s interests cover a wide range of sectors  with an emphasis on oil and gas services as well as construction and real estate development. Our companies are present in North America and Europe with mainstream operations in the Middle East and Africa.  Edgo supports philanthropic themes in the region including education  healthcare  cultural heritage and social welfare.    ,
约旦,Jordan,Faraz oil,Organization,2014.0,11-50,Faraz oil,Bitumen Baseoil ...,
约旦,Jordan,GasNas,Organization,2020.0,11-50,GasNas,A mobile application that allows you to order your gas cylinder at any time and from anywhere. ,
约旦,Jordan,IRBID DISTRICT ELECTRICITY CO.LTD.,Organization,,,IRBID DISTRICT ELECTRICITY CO.LTD.,IRBID DISTRICT ELECTRICITY CO.LTD. is an oil & energy company based out of Baghdad Street  Irbed  Jordan.,www.ideco.com.jo
约旦,Jordan,Jordan Modern Oil & Fuel Services Company,Organization,,1-10,Jordan Modern Oil & Fuel Services Company,,www.mgc-gas.com
约旦,Jordan,Jordan Oil Shale Company B.V (JOSCO),Organization,2009.0,,Jordan Oil Shale Company B.V (JOSCO),The Jordan Oil Shale Company (JOSCO) registered in Jordan in 2009 to explore for and evaluate the commercial potential of the deeper layers of Jordanian oil shale. In the success case JOSCO will use its proprietary  In Situ Conversion Process  (ICP) technology to produce oil and gas that would not otherwise be producible using currently available oil shale technologies.   JOSCO is a wholly owned subsidiary of Royal Dutch Shell plc. and as such has access to a network of experts world-wide providing invaluable technical know-how  operational expertise  cutting-edge research capabilities and global commercial insight.,
约旦,Jordan,Jordan Oil Terminals Company (JOTC),Organization,2015.0,,Jordan Oil Terminals Company (JOTC),The Jordan Oil Terminals Company (JOTC) is the first independent open-access storage provider in Jordan offering world-class storage  handling  transportation  aviation fueling and bunkering services for local and regional clients in the petroleum industry. JOTC offers an integrated set of oil storage and logistics services across Jordan. Additionally  JOTC designs  builds  operates  and maintains its storage terminals to meet and exceed regulatory and international standards.   Our vision is to become a nationally and regionally renowned company for providing storage and logistics services to the petroleum industry.  JOTC’s establishment came as part of the Government of Jordan’s plan for restructuring and liberalizing the downstream petroleum sector. The plan followed the expiry of Jordan Petroleum Refinery’s (JPRC) concession agreement in 2008  which had granted JPRC exclusive rights to refine crude oil  trade and market petroleum products in Jordan.  Founded in 2015  JOTC is a private shareholding company  fully owned by the Government of the Hashemite Kingdom of Jordan. JOTC serves two goals in Jordan’s energy sector: to guarantee the security of oil supply of Jordan  and to promote competition in the downstream petroleum market through providing its services to customers according to the open-access principles on non-discriminatory basis. ,
约旦,Jordan,Jordan Petroleum Refinery Company Ltd.,Organization,1956.0,1001-5000,Jordan Petroleum Refinery Company Ltd.,Jordan Petroleum Refinery Company Ltd (JPRC) A crude oil refinery founded in 1956  started production in 1961.the Refinery site is located in the city of Zarqa around 35 km east of the Capital Amman. The companies Headquarters are in the capital Amman. The company also owns Lube oil blending facility  three LPG bottling stations and LPG storage facilities  located in the Amman  Zaraq  & Irbid. The company also owns and operateS its only oil terminal and storage facilities in the city of Aqaba .  Lube Oil Factory           Jopetrol Lube Oil plant started production in 1977 with an initial capacity of (15) thousand tons per year.   Today  the plant s yearly production has reached (25) thousand tons per single shift.   Products   The plant produces a variety of lubricating oils covering a wide range of applications according to different International Standards  and in full compliance with the stipulated specifications.   The main products can be classified in the following groups :   Engine Oils  Gear Lubricants  Hydraulic Fluids  Compressor Oils  Transmission Fluids  Bearing Lubricants  Specialty Products   Quality assurance is observed throughout the different phases of the production  namely : blending  filling and loading.   Lubricants are filled  after blending and testing  in metal cans manufactured in the plant  of sizes: (1)  (5) and (209) liters  and/or in plastic containers locally purchased  of sizes: (0.25)  (5)  (20) and (25) liters.,
约旦,Jordan,Jordanian Egyptian FAJR for Natural Gas Transmission and Supply Co. Ltd.,Organization,2003.0,,Jordanian Egyptian FAJR for Natural Gas Transmission and Supply Co. Ltd.,Jordanian Egyptian FAJR Company began operating in December 2003  when the founding partners decided to establish a company for transporting and exporting Natural Gas. It is currently registered as a limited liability company  pursuant to the Jordanian Companies Law Number (22) and its amendments. Jordanian Egyptian FAJR both Implements and Operates the second phase of the Arab gas pipeline within the Hashemite Kingdom of Jordan to the Jordanian Syrian borders  using the Build-Own-Operate-Transfer (BOOT) scheme for 30 years extendable for 10 more years.,
约旦,Jordan,Jurmat Group,Organization,2003.0,501-1000,Jurmat Group,Jurmat Group   is a Private owned Group with 5 Companies including   - ROSCO ( Rafidain Oil Services Company ) - SAS ( Shams Al- Sabah General Contacting Company ) - QASCO ( Qimmat Al-Sadara Aliraqia General Contacting Company ) - SAW ( Shams Al-watan ) for Heavy lifting Equipment   - Jurmat Electrical Electrical Procurement    Member in Baghdad Chamber of Commerce in 1989.   2003 - establishing 3 companies   Privately owned Group  450 employees in 5 locations  (Basra   Baghdad   Amara  Kirkuk – IRAQ & Amman  -JORDAN )  - Power Generation  Transmission  and Distribution ( T&D). - O&G infrastructure Projects  - Transport  Heavy Lifting and Skidding of Equipment ,
约旦,Jordan,Karak International Oil PSC,Organization,,1-10,Karak International Oil PSC,,www.kio.jo
约旦,Jordan,Levant For Engineering Solutions LTD.,Organization,2016.0,1-10,Levant For Engineering Solutions LTD.,This page is dedicated towards Levant For Engineering Solutions LTD Company  a distributor of much excellent equipment and spare parts in Jordan  serving its Oil   Gas and industrial sectors.,
约旦,Jordan,"Leviathan Natural Resources, LLC",Organization,2014.0,1-10,Leviathan Natural Resources  LLC,Mr. Thompson has 11-years of industry experience and an MS degree in Geoscience from Colorado State University. During this time he has performed in-depth geologic  geomechanical  and petrophysical investigations into various petroleum resource plays in the Rocky Mountain and Permian regions for both large operators and small exploration shops. He has been involved operationally with productive vertical and horizontal drilling.  Mr. Thompson is passionate about continuing education and has been involved in local geologic societies. He is proficient in industry-standard software and techniques and is a skilled presenter and writer  dedicated to performing comprehensive geologic work.,
约旦,Jordan,Lina,,,,,,
约旦,Jordan,Manaseer Group,Organization,1999.0,10001+,Manaseer Group,Today  the Manaseer Group comprises of more than 17 subsidiary companies that effectively cover a wide range of sectors such as food industries  gas and lubricants distribution  industrial chemicals  fertilizers manufacturing  international trading  warehousing services  scrap recycling and reprocessing  cement and ready mix production  steel manufacturing  crushed stone production and our new factory for brick production which together employ over 10000 individuals,
约旦,Jordan,Power Engineering World Group,Organization,1993.0,501-1000,Power Engineering World Group,Headquartered in Baghdad  Iraq with a regional office in Amman  Established in 1993 PEW GC continues to support the power sector with the best engineering services.  PEW armed with the best expertise in the engineering domain and the depth knowledge of the Iraqi electrical system and a network whose sole goal is to ensure the costumers full satisfactions.,
约旦,Jordan,Site Group for Services & Well Drilling Co. Ltd.,Organization,1993.0,,Site Group for Services & Well Drilling Co. Ltd.,Site Group for Services and Well Drilling  a company under the BAUER Resources GmbH division of the BAUER Group  was founded in 1993 with the vision of serving the natural resources industry in the Arab World and beyond. For more than two decades  we gave evidence of impressive performance in providing the oil  gas  water and mineral resources industries with the best services.,
约旦,Jordan,Transocean Trading and oilfield supplies,Organization,2008.0,11-50,Transocean Trading and oilfield supplies,Please allow us to introduce our selves   Transocean Trading And Oilfield Supply is  a Jordanian company   specialized in the supply of Potassium Chloride ( KCL of Jordanian Origin).  Throughout the past twenty years we have been one of the most distinguished and reliable suppliers of Jordanian   Potassium Chloride   we gained an excellent business relationship with  major malty national Oilfield drilling   companies & Most of drilling fluids product stockiest companies all over the world.  It is our pleasure to meet all your requirements for KCL  at best prices with best lead time for all destinations. Please don t hesitate to contact us for any inquiries.,
约旦,Jordan,United International Hydro Engineering,Organization,2006.0,11-50,United International Hydro Engineering,Design/ Engineering/ Supply of Water and Oil Treatment Packages,
约旦,Jordan,شركة السمرا لتوليد الكهرباء - Samra Electric Power Co.,Organization,2004.0,,شركة السمرا لتوليد الكهرباء - Samra Electric Power Co.,تأسست شركة السمرا لتوليد الكهرباء المساهمة الخاصة المحدودة من قبل حكومة المملكة الأردنية الهاشمية وفقا لأحكام قانون الشركات رقم 22 لسنة 1997 تنفيذا لقرار مجلس الوزراء المتخذ في جلسته المنعقدة بتاريخ 26/08/2003 الشركة مملوكة بالكامل للحكومة وبرأس مال قيمته واحد وخمسون مليون دينار أردني. سجلت الشركة لدى مراقب عام الشركات بتاريخ 20/4/2004 تحت الرقم 40,
科威特,Kuwait,AAK Kuwait,Organization,2017.0,10001+,AAK Kuwait,AAK Kuwait Petroleum Services is oil  gas and petrochemical services provider in the State of Kuwait delivering customized services and support to customers. AAK Kuwait provides its distinctive customer solutions through various service lines including electrical  mechanical & firefighting services as well as manpower supply & equipment rentals. AAK Kuwait is recognized for service quality and deliverability.  AAK Kuwait is driven by a performance ethic pegged on value creation for its multiple shareholders  and anchored by dedicated workforce. AAK Kuwait is growing strongly through strategic alliances  key agent selection  and by building long-term service relationships.  AAK Kuwait aspires to be a reputable and preferred one stop services provider company for Oil & Gas industry disciplines.,
科威特,Kuwait,ACME International General Trading & Contracting Co. W.L.L.,Organization,2007.0,501-1000,ACME International General Trading & Contracting Co. W.L.L.,ACME International General Trading & Contracting Co. W.L.L. is a part of leading Kuwaiti group “Beyout Investment Group Holding (BIG) .  ACME specializes in  contracting  construction and commercial business  primarily catering to Oil & Gas  Power and Industrial Projects in Kuwait as well as in the Middle East.   Over the years  the company has established itself as a leading integrated project execution company specializing in mechanical and composite packages focusing on steel  pipe fabrication and erection  Plant and Equipment erection  pre-commissioning and commissioning  plant maintenance and turnaround and Industrial product supply.  Considering the up-coming mega projects in Kuwait  ACME has already taken progressive steps to enhance its capabilities and infrastructure to take up bigger execution packages.   ACME International General Trading & Contracting Co. W.L.L. was established in 2007 as a mechanical construction company specializing in contracting  construction and commercial business  primarily catering to Oil & Gas  Power and Industrial Projects.  Over the years  the company established itself as a leading player focusing on steel fabrication and site construction activities from the pre-fabrication and engineering office facility at Ahmadi Industrial area.  Considering the up-coming mega projects in Kuwait  ACME decided to scale up its infrastructure and operations capacity and merged with “Beyout Investment Group Holding (BIG Holding)   which in turn was planning to enter the core sector of Oil & Gas.  After the merger with BIG in 2013  ACME has established the new Fabrication and Offices facilities at West Shuaiba Industrial area.,
科威特,Kuwait,ALMEN,Organization,1967.0,501-1000,ALMEN,Tariq Al-Ghanim General Trading & Contracting company (W.L.L.)  also known as ALMEN  was founded in the year 1967 as an independent entity. By early 2004 ALMEN became one of the prime companies within Tariq Al-Ghanim holding companiess.  ALMEN is a pioneer in providing services in a safe  professional manner with diversified operations in the Oil and Energy Industry. The scopes cover: Grit & Garnet Blasting and Industrial Painting Industrial Scaffolding Crud Oil Tank Services Desludging  Oil Recovery & Cleaning Mechanical Repairs Internal Fiber Glassing Lining & Coating External Painting Internal Pipe Lining Civil Engineering Works  ALMEN’s success has been demonstrated by consistent growth for more than three decades and has incorporated the following:  A multi-national workforce amounting to over 800 personnel consisting of more than 15 nationalities. An annual turnover in excess of u.s. $20 000 000/- A large fleet of owned of various types of vehicles & equipment. A company philosophy operates fully in compliance with international standards & codes of practice. Education,www.almenkw.com
科威特,Kuwait,ARABI ENERTECH COMPANY KSC,Organization,,1001-5000,ARABI ENERTECH COMPANY KSC,ARABI ENERTECH COMPANY KSC is an oil and energy company based out of Office 24  Block 63 Building 4  Ahmadi  Al Ahmadi  Kuwait.,www.arabienertech.com
科威特,Kuwait,ATME Group,Organization,,,ATME Group,ATME is the Middle East leading Consulting and Services System Integrator in the process optimization and Information Management for Manufacturing Industry.  It is the single objective of ATME Group to help our clients achieve higher levels of corporate performance by means of best practice solutions  project management  plant & facilities optimization and industry leading consultation rendering in the energy  manufacturing and service industries.   Our track record speaks for itself. In an industry where clients constantly expect more from their suppliers  ATME Group steps up to this expectation at every time. For a number of years running now  we have succeeded in procuring higher and higher value contracts. Client support is regarded by us as a basic pre-requisite for solution and services delivery in not only the Middle Eastern but also other international markets.     ATME Group can be found in the refining  oil and gas  chemicals  petrochemicals  polymers  power and utilities. Our range of industry leading applications and solutions are backed up by our well-respected team of specialists. Our offices are located in Kuwait  Saudi Arabia  Qatar and the UAE accommodating over 50 industry specialists.,www.atme-group.com
科威特,Kuwait,Abar Solutions Petroleum Consultancy,Organization,2003.0,11-50,Abar Solutions Petroleum Consultancy,Abar Solutions Petroleum Consultancy is a leading provider of Training  Consulting and Engineering services to the Oil & Gas Industry.  Based in Kuwait and serving the entire GCC  UK  Cyprus  Malaysia  Egypt and more.  We are a subsidiary of Abar Global Petroleum Solutions.,www.abar-solutions.com
科威特,Kuwait,Abraaj Energy Group,Organization,2006.0,,Abraaj Energy Group,Since our establishment  Abraaj Energy has been the partner of choice for companies operating within the contractors & service providers evolving in Kuwait energy industry. Having operated in the Middle East energy market for over 10 years  we have a track record of empowering our partners to win business. Abraaj Energy is well placed to understand the challenges and what impact these can have on your growth plans for Kuwait. Abraaj Energy works with business leaders across the entire supply chain in the Oil  Gas  Refining  Petrochemical  Renewables & Conventional Power and water sectors. We provide an unparalleled set of professional services to support our customer’s strategies  which include: · Fact-based market analysis and insights  elevating the quality of business decision making. · Developing growth strategies to address market requirements. · Supporting new companies to enter Kuwait region and helping existing ones to achieve their full potential. · Increasing the probability of successful project acquisition. · Accelerating value creation to facilitate synergies through formation of new joint ventures and consortium.  Abraaj Energy partners benefit from our ability to meet these needs through a unique set of integrated services providing market insights  business advisory  business development  and full local logisticsupport. Our teams of advisers  consultants  market analysts and business developers work with our extensive network of industry and market relationships to bring global perspectives to regional challenges   OUR MISSION:  To empower our partners and Principals to succeed in the Kuwait energy market and beyond.   OUR VISION:  To be a partner of choice for all companies operating in Kuwait energy and energy-related industries by providing measurable benefits through our end-toend services.,www.abraajenergy.com
科威特,Kuwait,Abraaj Services,Organization,,501-1000,Abraaj Services,For 15 years  Abraaj Services has been steadfastly catering to the needs of the oil and gas industry. We are a member of Abraaj Energy Group  which serves the energy sector in Kuwait.   As a proud member of IADC (International Association of Drilling Contractors)  Abraaj Services is the heavy transportation partner of choice for Drilling and Oilfield Services & Contracting companies. In addition  we provide our partners with logistics  cross border transportation and warehousing services.,www.abraajservices.com
科威特,Kuwait,Abraaj Ultra,Organization,,,Abraaj Ultra,Abraaj Ultra is a leading Chemicals supplier and distributor for Oil and Gas Industry in Kuwait. Through our comprehensive global network that gives instant access to markets around the world  we provide responsible and reliable sources for our partners materials  chemicals and products. Our package of services includes organizing and running the entire value chain for any product that our partners demand from sourcing  research and analysis  marketing  sales  distribution and logistics to after-sales services. We have the capability to manage the entire supply chain  including import and export management  warehousing solutions and value-added services.,www.abraajultra.com
科威特,Kuwait,Al Barakat Golden Drilling Equipment & Maintenance Co.,Organization,2003.0,,Al Barakat Golden Drilling Equipment & Maintenance Co.,Al-Barakat Golden General Drilling Equipment & Maintenance Company was established in the year 2003 providing specialized services for Oil & Gas  Power & other major industries in the discipline of Electrical  Mechanical  Instrumentation and Logistics.,www.barakaat-golden.com
科威特,Kuwait,Al Hajri Gulf,Organization,2005.0,,Al Hajri Gulf,Integrated in the year 2005  Al Hajri Gulf business line focuses into Oil and Gas  Energy  Water  and Analytical sectors in the MENA Region region.,www.alhajrigulf.com
科威特,Kuwait,Al Hamaad Sons General Trading & Contracting Co. W.L.L,,,,,,
科威特,Kuwait,Al Sabah General Electric Co. Ltd.,Organization,1983.0,,Al Sabah General Electric Co. Ltd.,Who We Are:  Al Sabah General Electric Co. Ltd was established in 1983 in Kuwait and soon came to be known as one of the leading and most forward thinking lighting companies in the country Al Sabah Electric is the official distributor for many world-renowned brands in the industry and  and with a trading line up of a fully comprehensive range of products  we provide seamless solutions to our client s exacting requirements. As a distributor  Al Sabah has been successful in partnering with major consultants and contracting companies and deliver a quality service to add value to their projects.  What We Do:  We work alongside leading designers  architects  interior designers  electrical engineers  and facility managers to achieve the best out of every project. As a team  Al Sabah provides technical sales and logistical support in the supply of various ranges of materials specified in a project.   Our Serving Fields:   Lighting Project Sales: As a team  Al Sabah provides technical sales and logistical support in the supply of various ranges of light fittings specified in a project.  Consumer Goods: We have created a strong sustainable edge in the marketplace by developing brand equity for all our principal agencies.  The unique aspect of our business includes a wide range of product selection – Lamps and Luminaries  Electrical Accessories with quality assurance and full-service distribution through our Showrooms along with direct sales to consumer segments  Oil & Gas: Al Sabah General Electrical Company is firmly positioning as a total solutions provider to the Oil & Gas sector with a proven ability to provide a complete range of Electrical  Mechanical and Instrumentation products for upstream to midstream production and process requirements.  Eco-Power Solutions: We offer world class renewable energy solutions for residential and industrial solar power systems  solar lighting and other customized applications.,www.alsabahelectric.com
科威特,Kuwait,Al Yasmine Al Dawlia General Trading & Contracting Co. WLL,Organization,1993.0,,Al Yasmine Al Dawlia General Trading & Contracting Co. WLL,Al Yasmine Al Dawlia General Trading & Contracting Co. W.L.L. is an ISO 9001:2008 & OSHAS 18001:2007 certified company established in 1993 having extensive experience  expertise and good track record of providing services and supplies to the core sectors of Oil & Gas  Exploration & Drilling  Refineries  Petrochemical Industries  Power/Electrical Plants  Water Treatment – Desalination – Sewage Treatment Plants  Government Ministries  Local Contractors  and international EPC Contractors etc.   Al Yasmine is registered with the entire Oil & Gas sector & at all Ministries in the State of Kuwait. Al Yasmine is managed & operated by a group of professionals having vast experience and proven track record of over 30 years in facilitating Projects Management  Execution  and procurement & supplies of Equipment  Accessories  Spare Parts & Building Materials. Al Yasmine with the strength of its Joint Venture Partnership Associations with the International Reputed and Technology Holding Companies  Manufacturers  is in position to facilitate project management and execution works and providing services of Turnkey Procurement Supplies,www.alyasmine-dawlia.com
科威特,Kuwait,Al-Dorra Petroleum Services Co.,Organization,2006.0,11-50,Al-Dorra Petroleum Services Co.,Al Dorra is one of the latest companies to specialise in the field of energy services for the Middle East  GCC and South Asia. With the intensified need for specialised capabilities in the gas and petroleum industry  we at Al Dorra are acquiring  investing and partnering with dynamic business and service providers to revolutionize the way in which government or private sector energy corporations address their operational needs. With the express aim of creating a comprehensive network of service partners for any energy business in the industry  Al Dorra through its financial strength  consultant support and market insight has the wherewithal to recognise future potential and mutual profitability with any organisation  in all its areas of operation. Our Vision for Al Dorra is to make it a leader in the vastly complex as well as capital intensive industry.,
科威特,Kuwait,Al-Rashed Group Holding Co. KSCC,Organization,2000.0,1001-5000,Al-Rashed Group Holding Co. KSCC,Al-Rashed Group Holding Company is one of Kuwait’s leading family owned Groups. Through it’s subsidiary companies Al-Rashed Holdings has a number of strategic divisions focusing on: Major Oil  Gas  Utilities Power and Infrastructure Projects  Building Materials  Oil Sector Services  Equipment Supply  and Logistics as well as number of smaller specialist business units. Through its operating divisions Al-Rashed Holdings has built an outstanding reputation in these key markets working with its partner international companies in the State of Kuwait and the wider Gulf Region.,
科威特,Kuwait,Almagwa Engineering and Contracting Company,Organization,1973.0,,Almagwa Engineering and Contracting Company,Al magwa Engineering & Contracting.co.w.l.l. was established in the year 1973 the company was set up originally to carry out the trading and contracting business in refrigeration and air-conditioning. Of late    Al Magwa has transformed as a reputed prime Electro-Mechanical contractor / subcontractor in kuwait on high value projects with an emphasis on the  Design-Build-Maintain  projects with scope for total engineering solutions and value added engineering services.         The strength of Al Magwa comes with its highly skilled trained manpower and its substantial investments in workshops  machine shops and duct shops with full range of high quality movable/immovable and suport systems.        Al Magwa Company is registered in the Ministry of Trade & Industry and approved contractor in central Tenders Committee-Kuwait  for Refrigeration and Air-Conditioning Category 2  Electrical category 3  Fire Fighting category 4   Communication category 1  Approved Categories in KOC for the Electro Mechanical Works :3 4B 9A 9B.,
科威特,Kuwait,BTEKB Global,Organization,,1-10,BTEKB Global,BTEKB International has a global presence and pride ourselves in our ability to react quickly to our clients needs and demands by providing them with a global network of technical support services to support their project at a local level.Our focus is to support our clients within the Oil & Gas  Mining & Metals utility infrastructure as well as Energy and Industrial sectors.  BTEKB provides a suite of technical support services throughout the project life cycle  from engineering support through to  construction services to  commissioning and start up as well as facility operation and maintenance.With an experienced multinational workforce that is flexible  capable and committed in supporting our Global Clients to deliver their projects to the highest Quality and Standards with Safety at the forefront in everything we do!  BTEKB prides itself in its ability to respond quickly to assistance to our clients by meeting their requirements for technical personnel. We have the flexibility and ability to supply clients with required resources for their operations to work within their team . Our objective is to assist with qualified  experienced and quality personnel in a timely and efficient manner. BTEKB has the resources to provide multi discipline highly skilled individuals or teams with vast experience in petrochemical  hydrocarbon projects on a Global scale projects  which can be mobilised at very short notice,
科威特,Kuwait,Bait Al Aseel for General Trading & Contracting Group,Organization,2002.0,,Bait Al Aseel for General Trading & Contracting Group,Bait Al-Aseel for General Trading & Contracting Group is one of the major Trading  Engineering  & Contracting companies based in Kuwait with a diversified range of products & services in Oil and Gas  Petrochemicals  Energy  Firefighting  and other industries.,
科威特,Kuwait,Bright Gulf,Organization,2013.0,11-50,Bright Gulf,We are Bright Gulf  an oil field solution company in State of Kuwait established since 2013. Our primary focus is on providing the best solutions to the oil & gas industry. We are specialized in delivering a wide range of smart integrated automated solutions covering several industrial such as machines  communications  artificial intelligence  machine learning  oil and gas industry from exploration and production  mid-stream  downstream and to chemical services. ,
科威特,Kuwait,Burgan One General Trade and Contracting,Organization,,1-10,Burgan One General Trade and Contracting,BG1 provides a vast array of services to clients within the oil and gas sectors as well as government and military entities.  For BG1  Safety First  is more than a motto.   Please contact us for more information on how we can help provide you with solutions and environmentally friendly products for your construction projects.,
科威特,Kuwait,CANAR Trading & Contracting Co. W.L.L,Organization,1970.0,5001-10000,CANAR Trading & Contracting Co. W.L.L,The foundation stone of our success has been a simple  but important belief:   We owe our clients and principals a prompt service of the highest quality .  Since 1970  we have worked hard to earn our clients  trust over the years  completing projects and tasks both of us are proud of.  As is true of our long-standing business success  it is the people at CANAR who make our company something special. We highly respect and admire our staff for being diverse  highly dedicated  and experienced professionals  as they are the backbone of our organization.  From management  to the professional team  our emphasis has always been on commitment to excellent service  and client satisfaction. At CANAR  our objectives are to create a long term relationship based on reliability  and success. ,
科威特,Kuwait,CK DRILLING CO.,Organization,2013.0,,CK DRILLING CO.,CK Drilling is company riding a journey to excellence. CK Drilling provides a wide range of world-class well-drilling and related services to the oil gas extractive industries. The company engages in medium and shallow drilling activities  also work-over services that enhance the productivity of existing oil wells. All our rigs are well equipped with the latest technology in the market with Cyber chairs to ensure that always we provide our clients with the optimum and latest technology to drill their wells in a safe manner  controlled and optimum environment to ensure that wells are drilled or Work over and delivered in best possible standard.,
科威特,Kuwait,DAM Oil & Gas,Organization,2016.0,11-50,DAM Oil & Gas,DAM  is a Kuwaiti Company established in 2016 with the objective of providing support services to Energy Sector (Power and Oil & Gas ) in Kuwait.    DAM management has extensive experience in the Kuwaiti business environment and has developed the knowledge and capability to position itself as a prominent player in the market. DAM also strives to assist International Service Providers  Contractors and manufacturers to enable them to participate in the business activities in Kuwait.  For more information  please contact us on info@dam.com.kw,
科威特,Kuwait,DCC Kuwait,Organization,2007.0,1001-5000,DCC Kuwait,THE DISTINCT CONTRACT CO. (DCC) is established in the year 2007 within the state of Kuwait under the commercial license 2007/805 having its main office at Ahmadi- Industrial Area- State of Kuwait.  The role of The Distinct Contract Company (DCC) is to respond to the growing demand of its clients related to the following scopes of works: Workforce Recruitment  Outsourcing or Co-Sourcing)  Administrative Support (Sponsorship & payroll)  Facility Management and Maintenance Services and Logistic Support.  In its initial life  DCC was providing different categories of Manpower to support WesternGeco (A Global Leader Company in Seismic Operations). DCC has participated in the Seismic Operation 2D & 3D of the whole areas in Kuwait. Nowadays  the company succeeded to widen its client portfolio into various Oil & Gas Service Companies which are all considered worldwide leaders in the field of Oil & Gas.  DCC is committed to providing quality services at an effective cost in order not only to meet the expectations of its clients but to exceed them as well.  To keep its service quality accumulating  DCC is an ISO Certified Company for Quality Management System 9001-2015 and an OHSAS 18001-2007 Certified Company.   Furthermore  to sustain its quality service  DCC is very selective  in terms  of its staff. The company is having highly experienced staff with relevant experience to assure the services are provided in smooth methods and under appropriate communication as we believe that communication is a very important factor in business. ,
科威特,Kuwait,EPSCO Global General Contracting for Buildings,Organization,2014.0,,EPSCO Global General Contracting for Buildings,EPSCO Global is a General Contracting Company. The Company operates in the Oil & Gas and Industrial sectors with a focus on Green Technologies.  In the Oil & Gas sector  EPSCO is specialized in providing services for the sector and introducing exclusive modern and innovative technologies.  As for the Industrial sector  the Company specializes in the areas of manufacturing  recycling and biofuel industries.  The Company also trades and invests in Oil & Gas  Industrial  Medical  Retail Automotive  Green Industries and Safety products.  EPSCO is committed to providing excellent services to all its customers in both sectors and other government agencies  both in Kuwait and other countries.  We provide services with high quality and efficiency and in a timely manner  while maintaining high HSE standards.  Our Group of companies is involved in different businesses as mentioned above:  Chemikuwait- For chemical manufacturing of Sulphuric Acid and future Bioethanol OGSCO- For Oil & Gas EPSCO Trading- For our Tire Recycling and downstream products Greewells- For our Medical Ind. Al Wataniya- For our Automotive Ind. Lounge & more- For our Travel Ind. ,
科威特,Kuwait,ESME - Energy Services Middle East W.L.L,Organization,2010.0,11-50,ESME - Energy Services Middle East W.L.L,Over the past 30 years  ESME management has built up a solid reputation in committing to the consistent pursuit of excellence and continuous dedication in improving its business to provide principals and clients with the services that fully comply with their requirement in the Energy (Power  Oil & Gas) & Infrastructure industry within the Middle East in general and the GCC region in specific. Energy Services Middle East W.L.L. founded by industry experts in 2010  is the Middle East leading solution and service provider operating in several countries including Saudi Arabia  Qatar  UAE  Oman  Bahrain  and Lebanon. ESME not only covers our consultancy services from commercial and contract management but also offer a diversity of services in the Energy and Infrastructure arena from working closely with renowned international manufacturers and service providers and assisting in growing their market share by providing an unparalleled commitment to quality  service and 24/7 customer support. Our networks of partners are leading players in their field ranging from Consultancy  Exploration  Engineering  and Marine.,
